epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,val_macro_f1,test_macro_f1
1,1.7640049503326416,0.34215555555555555,1.5422252532958984,0.4448,1.5444281436920166,0.4442,0.4380069673061371,0.4382666051387787
2,1.4439607774098715,0.47244444444444444,1.3790518337249755,0.5004,1.416208331489563,0.4912,0.49441543221473694,0.48630157113075256
3,1.3085436678992377,0.5254,1.1981101264953613,0.5744,1.2181156230926513,0.5661,0.569682240486145,0.5625513195991516
4,1.212738003285726,0.5624444444444444,1.1192283939361571,0.5944,1.1334263553619386,0.5914,0.5920068025588989,0.5905064344406128
5,1.1421245153850978,0.5854888888888888,1.1374452568054199,0.5834,1.1438422077178956,0.5845,0.5846066474914551,0.5866743922233582
6,1.0894647131390043,0.6068222222222223,1.040929573059082,0.6266,1.0719487424850465,0.6108,0.6176165342330933,0.6038298606872559
7,1.0342013893551296,0.6287111111111111,0.979664381980896,0.6512,1.0019915887832642,0.6416,0.6520805954933167,0.6442599296569824
8,0.9888517028808593,0.6467111111111111,0.9756498701095581,0.654,1.0086560549736023,0.6455,0.6490952968597412,0.6420549154281616
9,0.9461152761671279,0.6627333333333333,0.9214687019348144,0.6646,0.9508575073242187,0.6623,0.6591719388961792,0.6593241095542908
10,0.9115192504670885,0.6738888888888889,0.9042171941757202,0.6746,0.927456785106659,0.6714,0.6741310358047485,0.6718173623085022
11,0.8760174877908494,0.6884,0.848250043964386,0.7,0.8709588491439819,0.6941,0.698173999786377,0.6928442120552063
12,0.842239218182034,0.6999555555555556,0.8584046628952027,0.698,0.8732413111686707,0.6929,0.6967995166778564,0.6929210424423218
13,0.8071334735658434,0.7140666666666666,0.8247765729904175,0.715,0.8522732157707215,0.7006,0.7121164202690125,0.6985050439834595
14,0.7790653344260322,0.7243555555555555,0.8001513097763061,0.7136,0.8137380378723145,0.7147,0.7086220383644104,0.7112786173820496
15,0.7568589085684883,0.7324,0.8040803743362427,0.7174,0.8223231954574585,0.7114,0.7175792455673218,0.7119871377944946
16,0.7268780321756999,0.7427555555555555,0.7561912178993225,0.7394,0.7794406141281128,0.7303,0.7350274324417114,0.7259553670883179
17,0.7020073155403137,0.7508888888888889,0.7404695407867432,0.7424,0.7542369452476502,0.7358,0.741719663143158,0.7356722354888916
18,0.6794762417263455,0.7586666666666667,0.7501091300964355,0.7354,0.7537490535736084,0.7359,0.7348848581314087,0.7360185384750366
19,0.6627173954010009,0.7654666666666666,0.7324977108001709,0.7466,0.7421057419776916,0.7403,0.7459981441497803,0.7416327595710754
20,0.6371700014644199,0.7744888888888889,0.7271151466369629,0.7434,0.7370205884933472,0.7401,0.7432501912117004,0.7403460144996643
21,0.6223702523178525,0.7783777777777777,0.7596198376655579,0.7326,0.7619138439178467,0.7356,0.733566403388977,0.7370966672897339
22,0.6046704671117995,0.7854,0.7250142154693604,0.748,0.7142392855644226,0.7515,0.746362566947937,0.7506502270698547
