model,model_label,epoch,count,mean,std,min,max
vit_baseline,ViT Baseline (No Pos),1,5,1.779484786406623,0.00717790336010079,1.7732584164089626,1.791792574373881
vit_baseline,ViT Baseline (No Pos),2,5,1.4878193141640557,0.011358177402502705,1.469914413664076,1.4968752557118734
vit_baseline,ViT Baseline (No Pos),3,5,1.360071586388482,0.00984481116387495,1.3451014343261718,1.3711843477884929
vit_baseline,ViT Baseline (No Pos),4,5,1.2860196590211657,0.009922157256588505,1.2693247849994236,1.2929253872765436
vit_baseline,ViT Baseline (No Pos),5,5,1.225259045706855,0.012914031927280448,1.2067000053829617,1.2359047241846721
vit_baseline,ViT Baseline (No Pos),6,5,1.183901499654982,0.008832313802627062,1.1719662489573162,1.1932437253104315
vit_baseline,ViT Baseline (No Pos),7,5,1.142222978316413,0.012158798748001829,1.125185239897834,1.152572675535414
vit_baseline,ViT Baseline (No Pos),8,5,1.1041697253629896,0.010132686772460282,1.0929336537785,1.1152170022222732
vit_baseline,ViT Baseline (No Pos),9,5,1.07220050491333,0.009413790634000009,1.062993236955007,1.0832796169069079
vit_baseline,ViT Baseline (No Pos),10,5,1.0424796350542704,0.006327495450698038,1.0359333036846585,1.0511508671654595
vit_baseline,ViT Baseline (No Pos),11,5,1.014679383063846,0.006670178574593836,1.0088972967359755,1.024433925014072
vit_baseline,ViT Baseline (No Pos),12,5,0.9915404901568096,0.006563596457967092,0.9852750591278077,1.0000215350998773
vit_baseline,ViT Baseline (No Pos),13,5,0.966293595422109,0.009883302249190108,0.9573943229145474,0.9816507903840807
vit_baseline,ViT Baseline (No Pos),14,5,0.9413060727098254,0.008538212456435556,0.9327028539445665,0.9505460522545709
vit_baseline,ViT Baseline (No Pos),15,5,0.9204622483211093,0.009277477707744319,0.9111416418817309,0.933580029964447
vit_baseline,ViT Baseline (No Pos),16,5,0.9022526870600382,0.008008251709252723,0.8931882174491882,0.912745799446106
vit_baseline,ViT Baseline (No Pos),17,5,0.8797770290395949,0.008739830720256263,0.8701145165231493,0.8913783539877997
vit_baseline,ViT Baseline (No Pos),18,5,0.8595360158644783,0.007612941089841509,0.8518799821217855,0.8694477409998576
vit_baseline,ViT Baseline (No Pos),19,5,0.84395421971639,0.010027659122538569,0.8339001130951775,0.8562040326012506
vit_baseline,ViT Baseline (No Pos),20,5,0.8264780322096082,0.01259554629412098,0.8129002654181586,0.8445919526100159
vit_baseline,ViT Baseline (No Pos),21,5,0.80872707734002,0.011311480510260173,0.7943225753572252,0.8197941539446513
vit_baseline,ViT Baseline (No Pos),22,5,0.7871551827070448,0.011177246251797862,0.7742323932753669,0.8022932366265191
vit_baseline,ViT Baseline (No Pos),23,5,0.7734150804053412,0.01188726394489999,0.7614549651993645,0.7913535386615329
vit_baseline,ViT Baseline (No Pos),24,5,0.7579825434366863,0.012494433388334237,0.7461776693979899,0.7763415261586507
vit_baseline,ViT Baseline (No Pos),25,5,0.7402731833012899,0.010909923000767955,0.7270406000667148,0.7545553032663134
vit_baseline,ViT Baseline (No Pos),26,5,0.7223985023011101,0.011505088223591343,0.7097792338689168,0.7373438849555122
vit_baseline,ViT Baseline (No Pos),27,5,0.7065463080321418,0.010615548519098484,0.6951280109829373,0.7198543692058987
vit_baseline,ViT Baseline (No Pos),28,5,0.6896541068903606,0.013052001280831012,0.675205448797014,0.70919169377221
vit_baseline,ViT Baseline (No Pos),29,5,0.6750476225916545,0.014225839805879823,0.6581788234710694,0.6937242336379157
vit_baseline,ViT Baseline (No Pos),30,5,0.6623233311801486,0.013101654339381617,0.6476935561709933,0.6796575284216139
vit_baseline,ViT Baseline (No Pos),31,5,0.6456975268385146,0.01465846205704239,0.6332336752149794,0.6683405231263903
vit_baseline,ViT Baseline (No Pos),32,5,0.6310578890450795,0.0173242876213328,0.6104025925477345,0.6563498720380995
vit_baseline,ViT Baseline (No Pos),33,5,0.613644165081448,0.015888754787264946,0.5975544104258219,0.6334393341488308
vit_baseline,ViT Baseline (No Pos),34,5,0.5993612617556254,0.015766098601760013,0.5843484248797098,0.6212045721689861
