model,model_label,epoch,count,mean,std,min,max
vit_no_pos,vit_no_pos,1,5,0.3370577777777778,0.002678658223167572,0.33344444444444443,0.3404888888888889
vit_no_pos,vit_no_pos,2,5,0.4566177777777778,0.004207647358833249,0.4515111111111111,0.46253333333333335
vit_no_pos,vit_no_pos,3,5,0.50664,0.004357578895116024,0.5003333333333333,0.5116444444444445
vit_no_pos,vit_no_pos,4,5,0.5350177777777778,0.004002696621893005,0.5300222222222222,0.5399555555555555
vit_no_pos,vit_no_pos,5,5,0.5577511111111111,0.004164085126203773,0.5535555555555556,0.5643777777777778
vit_no_pos,vit_no_pos,6,5,0.5743822222222222,0.003173205724169357,0.5711333333333334,0.5783777777777778
vit_no_pos,vit_no_pos,7,5,0.5893466666666667,0.005923329060629167,0.5840444444444445,0.5966222222222223
vit_no_pos,vit_no_pos,8,5,0.6030222222222222,0.004201998348816542,0.5975777777777778,0.6086
vit_no_pos,vit_no_pos,9,5,0.6146755555555555,0.004455281232896285,0.6100666666666666,0.6206
vit_no_pos,vit_no_pos,10,5,0.6261955555555556,0.0021435749532607664,0.6231555555555556,0.6288666666666667
vit_no_pos,vit_no_pos,11,5,0.6353955555555556,0.002587453106869181,0.6312,0.6381333333333333
vit_no_pos,vit_no_pos,12,5,0.6452844444444444,0.004067892954149556,0.64,0.6506666666666666
vit_no_pos,vit_no_pos,13,5,0.6535555555555556,0.004796577998305368,0.6482222222222223,0.6597777777777778
vit_no_pos,vit_no_pos,14,5,0.6621288888888889,0.002585209593432479,0.6585555555555556,0.6641333333333334
vit_no_pos,vit_no_pos,15,5,0.6721377777777777,0.002291497973589093,0.6688444444444445,0.6743333333333333
vit_no_pos,vit_no_pos,16,5,0.6767422222222222,0.004150311605139177,0.6716444444444445,0.6808222222222222
vit_no_pos,vit_no_pos,17,5,0.6853244444444444,0.00342404713247819,0.6803111111111111,0.6883333333333334
vit_no_pos,vit_no_pos,18,5,0.6914177777777778,0.00332110349056782,0.6874222222222223,0.6948444444444445
vit_no_pos,vit_no_pos,19,5,0.6978088888888889,0.004921873576817332,0.6915333333333333,0.7032888888888889
vit_no_pos,vit_no_pos,20,5,0.7032888888888889,0.00522758589800184,0.696,0.7088666666666666
vit_no_pos,vit_no_pos,21,5,0.7102222222222222,0.002981258330733478,0.7069777777777778,0.7130666666666666
vit_no_pos,vit_no_pos,22,5,0.7190755555555556,0.004868229074415822,0.7116222222222223,0.7242888888888889
vit_no_pos,vit_no_pos,23,5,0.7234977777777778,0.004075751843086081,0.7188666666666667,0.7282666666666666
vit_no_pos,vit_no_pos,24,5,0.7290088888888889,0.004866783357302212,0.7227777777777777,0.7346
vit_no_pos,vit_no_pos,25,5,0.7348844444444445,0.003901294498680169,0.7298888888888889,0.7384666666666667
vit_no_pos,vit_no_pos,26,5,0.7421422222222223,0.004484833151306968,0.7349777777777777,0.7461777777777778
vit_no_pos,vit_no_pos,27,5,0.7457777777777778,0.005309716227799117,0.7383333333333333,0.7511333333333333
vit_no_pos,vit_no_pos,28,5,0.75308,0.004902748032645049,0.7453111111111111,0.7580222222222223
vit_no_pos,vit_no_pos,29,5,0.75844,0.005776504133124113,0.7515111111111111,0.7661333333333333
vit_no_pos,vit_no_pos,30,5,0.7628488888888889,0.004490384789253089,0.7565777777777778,0.7674222222222222
vit_no_pos,vit_no_pos,31,5,0.7679688888888889,0.0060703000922422475,0.7583777777777778,0.7739555555555555
vit_no_pos,vit_no_pos,32,5,0.7733599999999999,0.0056763620761675305,0.7644222222222222,0.7798222222222222
