model,model_label,num_seeds,best_val_acc_mean,best_val_acc_std,best_val_acc_min,best_val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,best_epoch_mean,best_epoch_std,best_epoch_min,best_epoch_max
vit_baseline,ViT Baseline (No Pos),5,0.7218,0.010571660229122029,0.7086,0.7364,0.7139,0.005673182528352147,0.7093,0.7233,0.713504147529602,0.006217925311502003,0.7083896398544312,0.7237434983253479,57.2,9.731392500562292,49.0,72.0
vit_learnable_position,ViT Learnable Position,5,0.79652,0.007238231828285157,0.7892,0.808,0.78854,0.004091210089936684,0.7818,0.7928,0.7883049845695496,0.0036624911929855094,0.7825642824172974,0.7924777269363403,55.8,14.359665734271115,40.0,75.0
vit_row_sinusoidal,ViT Row-wise Sinusoidal,5,0.75588,0.0036649693041006554,0.7514,0.7612,0.74918,0.0018471599822430195,0.7473,0.7519,0.7488003969192505,0.002255699792595097,0.7459670305252075,0.7520918846130371,49.8,11.30044246921332,36.0,67.0
vit_col_sinusoidal,ViT Column-wise Sinusoidal,5,0.75344,0.005466991860246378,0.744,0.758,0.74574,0.006169521861538377,0.7366,0.7527,0.7453332543373108,0.0064497550184977525,0.7359267473220825,0.7528301477432251,49.8,7.155417527999327,40.0,59.0
vit_additive_sinusoidal,ViT Additive Sinusoidal,5,0.7718,0.007234638899074378,0.761,0.777,0.76552,0.004648333034540441,0.758,0.7701,0.7649787187576294,0.0051911026152606544,0.7562718987464905,0.7694441080093384,58.4,12.441864811996632,44.0,78.0
vit_additive_sinusoidal_shifted,ViT Additive Sinusoidal Shifted,5,0.7773599999999999,0.007397837521870849,0.7646,0.7826,0.76824,0.0034536936748936113,0.7634,0.773,0.7680280566215515,0.003794757723330397,0.7625015377998352,0.7729393839836121,58.6,7.602631123499285,54.0,72.0
vit_multiplicative_sinusoidal,ViT Multiplicative Sinusoidal,5,0.78452,0.006868187533840344,0.7772,0.7944,0.77458,0.004850463895340321,0.7661,0.7781,0.7735471248626709,0.006105401240319193,0.7628270983695984,0.778031587600708,55.8,11.166915420114902,38.0,67.0
vit_multiplicative_sinusoidal_shifted,ViT Multiplicative Sinusoidal Shifted,5,0.78524,0.011252910734561085,0.777,0.802,0.7763800000000001,0.0038751774152933865,0.7717,0.7821,0.7764575362205506,0.00353503183978608,0.7726252675056458,0.7819886207580566,54.0,6.59545297913646,44.0,60.0
