run_name,label,model_name,model_display_name,model_family,model_variant,position_encoding,initialization,device,completed_epochs,selected_epoch,final_test_acc,best_test_acc,best_epoch_test_acc,final_val_acc,best_val_acc,best_epoch_val_acc,final_test_loss,best_test_loss,best_epoch_test_loss,final_val_loss,best_val_loss,best_epoch_val_loss,final_train_acc,best_train_acc,best_epoch_train_acc,final_train_loss,best_train_loss,best_epoch_train_loss,final_val_macro_f1,best_val_macro_f1,best_epoch_val_macro_f1,final_test_macro_f1,best_test_macro_f1,best_epoch_test_macro_f1,selected_test_macro_precision,selected_test_macro_recall,selected_val_macro_precision,selected_val_macro_recall,selected_test_subset_accuracy,selected_val_subset_accuracy
no_pos_cadb_elements_seed42,ViT No Pos,vit_no_pos,ViT No Pos,vit,no_pos,none,scratch,cuda,70,55,0.7947737412364564,0.8231357552581262,20,0.794996751137102,0.8239116309291747,21,0.9451190609321084,0.38830384235992943,18,0.9654539251885219,0.38411924520373114,18,0.9996036892924053,0.9996757457846952,65,0.007240784731788188,0.007240784731788188,70,0.33928728103637695,0.35921087861061096,55,0.3350309133529663,0.35069724917411804,46,0.3625459372997284,0.3274233043193817,0.38340112566947937,0.3464406728744507,0.30975142121315,0.30799219012260437
baseline_cadb_elements_seed42,ViT Baseline,vit_baseline,ViT Baseline,vit,baseline,absolute,scratch,cuda,43,28,0.7896749521988528,0.8193116634799236,16,0.7807017543859649,0.8099415204678363,12,0.9462466873584696,0.40785501330350143,13,0.9890484137594024,0.40050035598914757,9,0.9993875198155354,0.9993875198155354,41,0.009452868551756725,0.009452868551756725,43,0.32172587513923645,0.33909115195274353,28,0.3342544734477997,0.35671257972717285,24,0.3407864570617676,0.34801140427589417,0.34428057074546814,0.34514451026916504,0.271510511636734,0.27485379576683044
row_cadb_elements_seed42,ViT Row-wise,vit_row_sinusoidal,ViT Row-wise Sinusoidal,vit,row_sinusoidal,row_sinusoidal,scratch,cuda,54,39,0.7861695347355003,0.808476736775016,21,0.8014944769330734,0.816114359974009,27,0.9471034660621993,0.40960911167055425,16,0.8843949546794213,0.39161684493340015,16,0.9996397175385502,0.9997478022769851,52,0.008637754792581892,0.008637754792581892,54,0.36550095677375793,0.37440645694732666,39,0.32075878977775574,0.34060561656951904,30,0.3491767644882202,0.31818920373916626,0.39893150329589844,0.3644718825817108,0.28298279643058777,0.3255360722541809
col_cadb_elements_seed42,ViT Column-wise,vit_col_sinusoidal,ViT Column-wise Sinusoidal,vit,col_sinusoidal,col_sinusoidal,scratch,cuda,50,35,0.7740599107711919,0.8110261312938177,22,0.7966211825860948,0.8151397011046134,22,0.9385899026124929,0.40901906967846885,20,0.8814961952357018,0.38930102840036906,19,0.9989912091079406,0.9990272373540856,49,0.01295884109435984,0.01295884109435984,50,0.3500950336456299,0.37112340331077576,45,0.3261442184448242,0.3545851409435272,41,0.3684196174144745,0.3418489992618561,0.39481452107429504,0.3644942343235016,0.27915871143341064,0.30604287981987
