epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,val_macro_f1,test_macro_f1
1,1.8473032327651977,0.3184444444444444,1.5310814483642579,0.4376,1.5200975996017456,0.4542,0.428391695022583,0.44113320112228394
2,1.4880932793299357,0.45744444444444443,1.3502136068344117,0.5118,1.3611744560241699,0.5124,0.5079864263534546,0.5102795958518982
3,1.3511779846615262,0.5090222222222223,1.2633161865234375,0.5368,1.2585858541488648,0.5405,0.5325136780738831,0.5340777635574341
4,1.2648500099817912,0.5432666666666667,1.2211220569610595,0.5588,1.2360312675476075,0.5479,0.5455729365348816,0.5344087481498718
5,1.2045944433530171,0.5661777777777778,1.1535500146865845,0.5846,1.1569379175186156,0.5837,0.5817585587501526,0.57851642370224
6,1.1455639937294855,0.5852444444444445,1.1450795260429383,0.5916,1.1522249389648438,0.5846,0.5821252465248108,0.5706783533096313
7,1.112821067322625,0.5992888888888889,1.1067109148025513,0.611,1.1254074756622314,0.5945,0.604425311088562,0.5886510014533997
8,1.0692464380688138,0.6160444444444444,1.0399400421142577,0.6252,1.0388403655052185,0.6321,0.6221751570701599,0.6293233633041382
9,1.0300756726794773,0.6293333333333333,1.0161221504211426,0.634,1.0348354207992554,0.6293,0.6308896541595459,0.6243982315063477
10,1.002233431900872,0.6403555555555556,1.0096007015228272,0.6368,1.0105438613891602,0.6341,0.6366504430770874,0.6328726410865784
11,0.9736783969667223,0.6508222222222222,0.9872999752044678,0.6388,0.9824541940689087,0.643,0.6322562098503113,0.6342564821243286
12,0.9504677169905769,0.6595555555555556,0.9327279151916504,0.6576,0.9517617952346802,0.66,0.6579304337501526,0.6599736213684082
13,0.9152043446858724,0.6735333333333333,0.9468396634101868,0.6614,0.9433809565544129,0.667,0.6616986989974976,0.6674968004226685
14,0.8980849785380893,0.6800888888888889,0.8810068064689637,0.682,0.9087239760398865,0.6767,0.6777082681655884,0.6715110540390015
15,0.8650186215294732,0.6911333333333334,0.8817575403213501,0.6894,0.8928650833129883,0.6846,0.6867437362670898,0.6816985011100769
16,0.8498310175577799,0.694,0.8718962174415589,0.6896,0.8842558391571045,0.6829,0.6893274784088135,0.682782769203186
17,0.8282894208802117,0.7028888888888889,0.8704833769798279,0.6922,0.8792966337203979,0.6887,0.6886497139930725,0.6839302778244019
18,0.8048063095410665,0.711,0.8743543102264404,0.6882,0.8923084360122681,0.6836,0.6858422160148621,0.681463897228241
19,0.7865566518359715,0.7208444444444444,0.8295406860351563,0.7084,0.8433506315231323,0.7013,0.7050178647041321,0.6981974840164185
20,0.7745347229321797,0.7234444444444444,0.815844206571579,0.7182,0.8223703190803527,0.7106,0.7169874310493469,0.7086576223373413
21,0.7512375946786669,0.7315555555555555,0.8340690527915955,0.7056,0.8375361186981202,0.709,0.7017430067062378,0.7044686079025269
22,0.731759192138248,0.7386,0.7982892774581909,0.7128,0.8008001850128174,0.716,0.7135871052742004,0.7162252068519592
23,0.7208635332319472,0.7419555555555556,0.8095477547168731,0.7106,0.8096032967567444,0.7141,0.7083520889282227,0.7120586037635803
24,0.7015083937327067,0.7505333333333334,0.7886181890010834,0.722,0.7951220420837403,0.7238,0.7199579477310181,0.7218608856201172
