epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,val_macro_f1,test_macro_f1
1,1.8253921561982898,0.3211111111111111,1.5915378747940063,0.4202,1.5804473037719726,0.4192,0.40276628732681274,0.40269342064857483
2,1.529214426252577,0.4418,1.4023866458892822,0.4922,1.391191548347473,0.4991,0.4862310290336609,0.4933112561702728
3,1.383794366455078,0.5009777777777777,1.3461037578582764,0.5096,1.3510489400863648,0.5116,0.506140410900116,0.507132351398468
4,1.294861687596639,0.5320666666666667,1.2920848472595214,0.542,1.3034800123214723,0.5279,0.5393006801605225,0.5245716571807861
5,1.2371678992377386,0.5521333333333334,1.199031485748291,0.5726,1.2061417602539062,0.5647,0.5710530281066895,0.5629203915596008
6,1.1817654247495863,0.5766444444444444,1.16124338722229,0.5886,1.157871551322937,0.5859,0.58848637342453,0.5846874713897705
7,1.1297440565533108,0.5925555555555555,1.1278349367141725,0.5976,1.1257610876083375,0.5948,0.5875338315963745,0.5831159353256226
8,1.0950062837176853,0.6060222222222222,1.081463844680786,0.618,1.0871386558532714,0.6089,0.6160973310470581,0.6069139838218689
9,1.058140403874715,0.6179333333333333,1.0848108451843261,0.6176,1.089912970161438,0.6139,0.6118205785751343,0.607327938079834
10,1.0315462509261237,0.6303333333333333,1.0622854888916016,0.622,1.0626695304870606,0.6168,0.6166568994522095,0.611157238483429
11,1.0014998113632203,0.6404222222222222,1.0289661273956299,0.6362,1.0220593173980712,0.6352,0.6308401226997375,0.6308758854866028
12,0.9777974568367004,0.6470222222222223,1.0033305641174317,0.6406,1.0200263843536377,0.6351,0.6345564126968384,0.6289956569671631
13,0.94977539879481,0.6580888888888888,0.9952347236633301,0.645,1.004892106628418,0.6388,0.6426020860671997,0.6357327699661255
14,0.9270809295548333,0.6696,0.9600365217208863,0.6596,0.9602518566131591,0.6623,0.6572223901748657,0.6589652895927429
15,0.9029913858625624,0.6763111111111111,0.984868867778778,0.6518,0.9963595447540283,0.6516,0.6493144035339355,0.6487522721290588
16,0.8814019330766466,0.6837111111111112,0.9225026815414429,0.6746,0.9335743253707885,0.6715,0.6729158759117126,0.669251024723053
