config_key,ViT Baseline (No Pos),ViT Learnable Position,ViT Row-wise Sinusoidal,ViT Column-wise Sinusoidal,ViT Additive Sinusoidal,ViT Additive Sinusoidal Shifted,ViT Multiplicative Sinusoidal,ViT Multiplicative Sinusoidal Shifted
command,train_cifar10_experiment.py --model vit_baseline --dataset cadb_elements --cadb-root data/CADB_Dataset --results-dir results/cadb_elements_positional_100e --checkpoint-dir checkpoints/cadb_elements_positional_100e --image-size 96 --epochs 100 --seed 42 --early-stopping-patience 15 --early-stopping-metric val_macro_f1 --early-stopping-min-delta 0.001 --lr-plateau-patience 5 --lr-plateau-factor 0.5 --run-name baseline_cadb_elements_seed42,train_cifar10_experiment.py --model vit_learnable_position --dataset cadb_elements --cadb-root data/CADB_Dataset --results-dir results/cadb_elements_positional_100e --checkpoint-dir checkpoints/cadb_elements_positional_100e --image-size 96 --epochs 100 --seed 42 --early-stopping-patience 15 --early-stopping-metric val_macro_f1 --early-stopping-min-delta 0.001 --lr-plateau-patience 5 --lr-plateau-factor 0.5 --run-name learnable_position_cadb_elements_seed42,train_cifar10_experiment.py --model vit_row_sinusoidal --dataset cadb_elements --cadb-root data/CADB_Dataset --results-dir results/cadb_elements_positional_100e --checkpoint-dir checkpoints/cadb_elements_positional_100e --image-size 96 --epochs 100 --seed 42 --early-stopping-patience 15 --early-stopping-metric val_macro_f1 --early-stopping-min-delta 0.001 --lr-plateau-patience 5 --lr-plateau-factor 0.5 --run-name row_cadb_elements_seed42,train_cifar10_experiment.py --model vit_col_sinusoidal --dataset cadb_elements --cadb-root data/CADB_Dataset --results-dir results/cadb_elements_positional_100e --checkpoint-dir checkpoints/cadb_elements_positional_100e --image-size 96 --epochs 100 --seed 42 --early-stopping-patience 15 --early-stopping-metric val_macro_f1 --early-stopping-min-delta 0.001 --lr-plateau-patience 5 --lr-plateau-factor 0.5 --run-name col_cadb_elements_seed42,train_cifar10_experiment.py --model vit_additive_sinusoidal --dataset cadb_elements --cadb-root data/CADB_Dataset --results-dir results/cadb_elements_positional_100e --checkpoint-dir checkpoints/cadb_elements_positional_100e --image-size 96 --epochs 100 --seed 42 --early-stopping-patience 15 --early-stopping-metric val_macro_f1 --early-stopping-min-delta 0.001 --lr-plateau-patience 5 --lr-plateau-factor 0.5 --run-name additive_cadb_elements_seed42,train_cifar10_experiment.py --model vit_additive_sinusoidal_shifted --dataset cadb_elements --cadb-root data/CADB_Dataset --results-dir results/cadb_elements_positional_100e --checkpoint-dir checkpoints/cadb_elements_positional_100e --image-size 96 --epochs 100 --seed 42 --early-stopping-patience 15 --early-stopping-metric val_macro_f1 --early-stopping-min-delta 0.001 --lr-plateau-patience 5 --lr-plateau-factor 0.5 --run-name additive_shifted_cadb_elements_seed42,train_cifar10_experiment.py --model vit_multiplicative_sinusoidal --dataset cadb_elements --cadb-root data/CADB_Dataset --results-dir results/cadb_elements_positional_100e --checkpoint-dir checkpoints/cadb_elements_positional_100e --image-size 96 --epochs 100 --seed 42 --early-stopping-patience 15 --early-stopping-metric val_macro_f1 --early-stopping-min-delta 0.001 --lr-plateau-patience 5 --lr-plateau-factor 0.5 --run-name multiplicative_cadb_elements_seed42,train_cifar10_experiment.py --model vit_multiplicative_sinusoidal_shifted --dataset cadb_elements --cadb-root data/CADB_Dataset --results-dir results/cadb_elements_positional_100e --checkpoint-dir checkpoints/cadb_elements_positional_100e --image-size 96 --epochs 100 --seed 42 --early-stopping-patience 15 --early-stopping-metric val_macro_f1 --early-stopping-min-delta 0.001 --lr-plateau-patience 5 --lr-plateau-factor 0.5 --run-name multiplicative_shifted_cadb_elements_seed42
outputs.run_name,baseline_cadb_elements_seed42,learnable_position_cadb_elements_seed42,row_cadb_elements_seed42,col_cadb_elements_seed42,additive_cadb_elements_seed42,additive_shifted_cadb_elements_seed42,multiplicative_cadb_elements_seed42,multiplicative_shifted_cadb_elements_seed42
