epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,val_macro_f1,test_macro_f1
1,1.7798766158209907,0.3382222222222222,1.47069352684021,0.4574,1.4804469757080079,0.4615,0.4425514340400696,0.4487162232398987
2,1.4337352353201973,0.47935555555555553,1.3021515659332275,0.5326,1.3259245388031007,0.5256,0.5282420516014099,0.5248054265975952
3,1.2811613497840033,0.5359555555555555,1.1993751781463624,0.564,1.2053775047302246,0.5604,0.5566815137863159,0.5550903081893921
4,1.2088220449023777,0.5644444444444444,1.1458766441345214,0.5862,1.162892282295227,0.5799,0.5745503902435303,0.5713133215904236
5,1.1492453694661457,0.5879555555555556,1.0899021690368653,0.6056,1.1065551397323607,0.6013,0.600394606590271,0.5988119840621948
6,1.1019297160890367,0.6036,1.088965962600708,0.6072,1.1025738201141357,0.6097,0.6041082143783569,0.6084297299385071
7,1.0690897682189942,0.6145333333333334,1.0480909801483154,0.625,1.0665821113586427,0.6184,0.6198532581329346,0.6149382591247559
8,1.0275956329663594,0.6323777777777778,0.9946770336151123,0.6386,1.014980131626129,0.6353,0.6383368372917175,0.6345579028129578
9,0.9951863100369771,0.6431555555555556,0.9560982354164124,0.6654,0.965124160194397,0.6564,0.6588129997253418,0.6510016322135925
10,0.9619299988004897,0.6537555555555555,0.9433765604972839,0.6624,0.9470659044265747,0.6638,0.6553155183792114,0.6594180464744568
11,0.9318079293780857,0.6677333333333333,0.9237046419143676,0.6684,0.9317567903518676,0.6664,0.6623760461807251,0.6624432802200317
12,0.9090491410255432,0.6762444444444444,0.9225610679626465,0.673,0.939454799079895,0.6682,0.6691033244132996,0.6658479571342468
13,0.8878945392078823,0.6832,0.9038441197395325,0.6764,0.9117975288391114,0.6736,0.6740729808807373,0.6734995245933533
14,0.8586280510266622,0.6927111111111112,0.8772940250396728,0.687,0.8827970399856567,0.6856,0.6791784167289734,0.6794998645782471
15,0.8378587595833672,0.7013333333333334,0.8614141050338745,0.6944,0.8603586158752441,0.6954,0.6892465353012085,0.6918227672576904
16,0.8186368359459771,0.7099555555555556,0.8538711307525635,0.6968,0.8486187366485596,0.7008,0.6931719779968262,0.6983930468559265
17,0.8053499497413635,0.7134,0.8433880382537842,0.6986,0.853171228981018,0.7004,0.6933206915855408,0.6978268623352051
18,0.7804028181711833,0.7210222222222222,0.8365759965896606,0.7012,0.8524318660736084,0.6993,0.699745774269104,0.6994233727455139
19,0.7671062118212382,0.7262666666666666,0.8053631794929504,0.7152,0.8116288641929627,0.7156,0.7146661877632141,0.7161825895309448
20,0.7504596474541558,0.7308444444444444,0.80689530377388,0.7136,0.8143833358764648,0.7172,0.7135846018791199,0.7175012826919556
21,0.7338325942569309,0.7385555555555555,0.8126544456481933,0.7108,0.8216111528396607,0.7116,0.7065367698669434,0.7092452049255371
22,0.7164263653437296,0.7431555555555556,0.7872187449932099,0.7232,0.8096928306579589,0.7182,0.7169227004051208,0.7131117582321167
23,0.7033199440956116,0.7489555555555556,0.7967559749603271,0.7202,0.8231361161231995,0.7157,0.7164485454559326,0.7135549187660217
24,0.6865304083506266,0.7558222222222222,0.7451438200950623,0.741,0.7650898865699768,0.7303,0.7381525635719299,0.7284799814224243
25,0.6732970448176067,0.7605555555555555,0.7693712187767029,0.7314,0.773964964389801,0.7271,0.7295416593551636,0.7268382906913757
26,0.6634071041001214,0.7634666666666666,0.7822544788360596,0.7296,0.7992215931892395,0.7237,0.7256364822387695,0.7201266884803772
27,0.6530868452125126,0.7688666666666667,0.753209651184082,0.742,0.7637149631500244,0.7365,0.7403222322463989,0.7366200089454651
28,0.6327818303638034,0.7732666666666667,0.7292919473648072,0.7422,0.7495091242790222,0.7386,0.7392016649246216,0.7366529107093811
29,0.6161283275286357,0.7819777777777778,0.7221552404403686,0.7536,0.7394028703689575,0.7411,0.7512498497962952,0.7398093938827515
30,0.6109026721000671,0.7808,0.7159628328323364,0.7568,0.7303931624412536,0.7454,0.7534399628639221,0.743759274482727
31,0.5998598561180962,0.7883777777777777,0.7392046305656433,0.7496,0.75654423122406,0.744,0.7433872818946838,0.7386594414710999
32,0.5862419466230604,0.7920888888888888,0.7435872923851014,0.7392,0.7517932193756104,0.7402,0.7383443117141724,0.7402780055999756
33,0.5658302974118127,0.7992,0.7331395174026489,0.7484,0.7635898086547852,0.742,0.7454455494880676,0.7398747205734253
34,0.5645942750612895,0.7967333333333333,0.7205895738601684,0.7544,0.7521949721336365,0.7446,0.7515579462051392,0.7429603338241577
35,0.5542629561424255,0.8027555555555556,0.7237728286743164,0.749,0.7408769241333008,0.7481,0.7479062676429749,0.7476416826248169
36,0.5412877539899614,0.8072888888888888,0.7362318771362305,0.747,0.7361924376010894,0.7521,0.7476884722709656,0.7534717321395874
37,0.4683439689106411,0.8346,0.6789647995948791,0.7686,0.7051659921646118,0.7637,0.7651775479316711,0.761258602142334
38,0.44544640470610725,0.8402888888888889,0.6766958421707153,0.7754,0.6954140153884888,0.7661,0.772649347782135,0.7647852301597595
39,0.43105555090374414,0.8472222222222222,0.7130360045433044,0.7682,0.7284709351539612,0.7638,0.7661662101745605,0.7630375623703003
40,0.4226016425874498,0.8490888888888889,0.6839187629699707,0.7752,0.7041278304100037,0.7657,0.7742208242416382,0.7652204036712646
41,0.41714277984831066,0.8515333333333334,0.70390216588974,0.77,0.7093310140609741,0.7648,0.7691894769668579,0.7644538283348083
42,0.4135239725854662,0.8529333333333333,0.7153497001647949,0.7588,0.7214147554397583,0.7642,0.7564725875854492,0.763060986995697
43,0.398353031873703,0.8590444444444445,0.6995942025184632,0.7744,0.7114779190063476,0.7682,0.7739888429641724,0.768513023853302
44,0.3915011146121555,0.8593777777777778,0.6897886289596558,0.7784,0.7086882863044739,0.7717,0.7787946462631226,0.7726252675056458
45,0.3807455684079064,0.8628222222222223,0.72128248462677,0.7724,0.7347765303611755,0.7684,0.770485520362854,0.7672184109687805
46,0.3768066018899282,0.8650888888888889,0.7092207033157348,0.7732,0.7323749740600586,0.767,0.7706795930862427,0.7654197812080383
47,0.36640479270352255,0.8694222222222222,0.7132726890563965,0.7722,0.7321081208705902,0.7673,0.7701855897903442,0.7666433453559875
48,0.35707826194233366,0.8713333333333333,0.7080482803344726,0.7766,0.728303950214386,0.7666,0.7757034301757812,0.7664547562599182
49,0.3547101958380805,0.8724666666666666,0.704979732131958,0.7794,0.7348150295257568,0.7672,0.7775319814682007,0.766310453414917
50,0.3485199320104387,0.8751333333333333,0.7149916993618012,0.777,0.7409372736930847,0.7694,0.7756280303001404,0.7688575983047485
51,0.339789355357488,0.8781111111111111,0.7223959672927857,0.772,0.7590251821517945,0.7621,0.7707234621047974,0.7613463997840881
52,0.33699785976409913,0.8782222222222222,0.7076550686836243,0.776,0.7336232163906098,0.7686,0.7759354114532471,0.7696974277496338
53,0.33072752438651193,0.8815333333333333,0.7342275733947754,0.7722,0.7632813189506531,0.7657,0.7709141969680786,0.7650827169418335
54,0.3201138849258423,0.8846,0.7280441581726074,0.7786,0.7462899295806885,0.7669,0.7782398462295532,0.7672469615936279
