epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,val_macro_f1,test_macro_f1
1,0.4417935613682916,0.7715088629485517,0.4278167058036574,0.7706302794022092,0.4415843375098409,0.7724665391969407,0.10455486178398132,0.10378912091255188
2,0.41803059878670906,0.7859201614065427,0.42162301131391616,0.7755035737491878,0.43486709012356134,0.780114722753346,0.10083036869764328,0.10338345170021057
3,0.41147139016498596,0.7897031272517654,0.4223315284730863,0.7742040285899935,0.4388500447482953,0.7692797960484385,0.12675198912620544,0.1283496469259262
4,0.4072478750645728,0.7915405678051592,0.4246838985711743,0.7742040285899935,0.4412525995967493,0.7590822179732314,0.1670394390821457,0.1571340411901474
5,0.4054236641911475,0.7943147427583225,0.417564179000334,0.7800519818063678,0.4321405071601357,0.7708731676226896,0.20342136919498444,0.18897180259227753
6,0.4016363350050407,0.7961161550655714,0.41777739991918644,0.7846003898635477,0.4301899439632095,0.7855321861057999,0.16261161863803864,0.16308487951755524
7,0.39590494507997004,0.8010880530335783,0.4138258454801976,0.7884990253411306,0.4254374996426001,0.7890376035691523,0.1987374871969223,0.19971585273742676
8,0.3874791149344735,0.8084017870010088,0.41389409654554105,0.788174139051332,0.4260634113794075,0.7794773741236456,0.19258026778697968,0.1810731142759323
9,0.384824420395116,0.809770860354518,0.40050035598914757,0.7988953866146848,0.40880058252788637,0.7992351816443595,0.2539142668247223,0.2499648779630661
10,0.3688814498055718,0.8249747802276985,0.40833238737392613,0.7992202729044834,0.4132528322718567,0.8056086679413639,0.24598641693592072,0.25334444642066956
11,0.3587985031799584,0.8350987173944372,0.4051610411491543,0.8021442495126706,0.4083177719699721,0.8052899936265137,0.24417130649089813,0.25066861510276794
12,0.3479351071480596,0.8412235192390835,0.4150496740729256,0.8099415204678363,0.42064934923361635,0.8075207138304653,0.27242401242256165,0.2610583007335663
13,0.34360245250284643,0.8459432194840755,0.4071021469248201,0.8011695906432749,0.40785501330350143,0.8094327597195666,0.29332002997398376,0.298848032951355
14,0.32623453530407653,0.8561392131431041,0.42559533797160926,0.799545159194282,0.42706751350463007,0.8056086679413639,0.2769441306591034,0.2694815695285797
15,0.314304863213462,0.8628044386799251,0.43029348090378167,0.8044184535412605,0.43229561274867667,0.8030592734225621,0.26996758580207825,0.26881080865859985
16,0.30192329183420574,0.87109093529327,0.4276889436542407,0.8034437946718649,0.424129914656196,0.8193116634799236,0.291421115398407,0.31726208329200745
17,0.29259068501804797,0.8779002738146707,0.45840694106113145,0.8037686809616634,0.45878291745486727,0.8030592734225621,0.3052506148815155,0.2877022325992584
18,0.2761443261583801,0.8853220925205361,0.4575006121199498,0.7998700454840806,0.4439287338384479,0.8100701083492671,0.2954910695552826,0.28641843795776367
19,0.2572865424298436,0.8928159677186914,0.4678154596459796,0.7979207277452891,0.4627464647274856,0.8024219247928617,0.2969718277454376,0.3027435541152954
20,0.24700378635926418,0.8974996397175385,0.4730814850469779,0.8031189083820662,0.4608835353450155,0.8091140854047164,0.3199130892753601,0.30562058091163635
21,0.23646881537317868,0.90330018734688,0.4966255028316384,0.7975958414554906,0.4909577436930363,0.8081580624601657,0.30697450041770935,0.3433225154876709
22,0.21691874782218595,0.9131358985444589,0.5447971887639624,0.7871994801819363,0.5166459011758034,0.7966857871255577,0.30474838614463806,0.32843056321144104
23,0.19477184735306197,0.9247730220492867,0.5850425522926955,0.7930474333983106,0.5493622437034009,0.8046526449968132,0.30938541889190674,0.313262015581131
24,0.1842243103201751,0.928916270355959,0.5666281971608453,0.7930474333983106,0.5480281771027107,0.8011472275334608,0.3244364261627197,0.35671257972717285
25,0.1672647953084986,0.935473411154345,0.615923971867236,0.7868745938921378,0.584450506571374,0.7976418100701084,0.3075922429561615,0.3313387930393219
26,0.15238924031385445,0.941922467214296,0.6685339382052654,0.7813515269655621,0.6702795676018038,0.7797960484384958,0.3026103675365448,0.3167237639427185
27,0.1539733729937661,0.938571840322813,0.6570872962474823,0.7839506172839507,0.6342457953420242,0.7877629063097514,0.31969544291496277,0.3368777334690094
28,0.1277686347995699,0.9526588845654993,0.6858461434439144,0.7810266406757634,0.6912150614348243,0.784257488846399,0.33909115195274353,0.334621399641037
29,0.10913782421510765,0.9614497766248739,0.7187416142190409,0.7781026640675763,0.6683774485642778,0.7877629063097514,0.3225582540035248,0.3412054777145386
30,0.10383589367329482,0.9621703415477735,0.7411955710950708,0.7755035737491878,0.712979846201253,0.7855321861057999,0.31529927253723145,0.3422434329986572
31,0.08317491849276394,0.9717538550223375,0.7736225045680071,0.7781026640675763,0.7611893585261605,0.7887189292543021,0.3224960267543793,0.33917948603630066
32,0.06665535109464708,0.9792477302204928,0.8148538200711182,0.7716049382716049,0.7737708312831463,0.7845761631612492,0.31378665566444397,0.3340902030467987
33,0.05439987154480213,0.9849762213575444,0.8551877344473761,0.7693307342430149,0.8105080776187248,0.7868068833652008,0.31167536973953247,0.34719231724739075
34,0.04599589044433546,0.9869217466493732,0.8718819986596762,0.7777777777777778,0.8298301586229532,0.7880815806246017,0.3140377998352051,0.35545507073402405
35,0.0314161776538038,0.9938751981553537,0.8977407082610311,0.7771280051981806,0.8438660151415983,0.7880815806246017,0.31835076212882996,0.34582841396331787
36,0.021835253137887374,0.9968295143392419,0.9041668414501346,0.7810266406757634,0.8710467046123161,0.787125557680051,0.3269275724887848,0.33370378613471985
37,0.019194895395959966,0.9976941922467214,0.9325647215916254,0.7777777777777778,0.8914904888455772,0.7868068833652008,0.32044467329978943,0.3332395851612091
38,0.01578330297757486,0.998342700677331,0.9572923097715914,0.7719298245614035,0.9039422085590618,0.7817080943275972,0.31545546650886536,0.3328583836555481
39,0.013892527323391754,0.9987029831387808,0.9529218193947848,0.7803768680961664,0.918329331546623,0.7864882090503506,0.32898303866386414,0.33754637837409973
40,0.012177158740598352,0.9990272373540856,0.9797382405850144,0.7758284600389863,0.931543817027805,0.784257488846399,0.3227408826351166,0.3392367362976074
41,0.01053300499130915,0.9993875198155354,0.9779440701919195,0.7800519818063678,0.9342182587483189,0.7893562778840025,0.3268497884273529,0.33871760964393616
42,0.009773836173584231,0.9993154633232454,0.9821632653583734,0.7797270955165692,0.9365992841255596,0.7896749521988528,0.32354670763015747,0.3363288938999176
43,0.009452868551756725,0.9993875198155354,0.9890484137594024,0.7807017543859649,0.9462466873584696,0.7896749521988528,0.32172587513923645,0.3342544734477997
